gene_id,egg_1,egg_5,egg_7,zoea_1,zoea_2,megalopaS_01,megalopaS_02,megalopaS_04,megalopaF_2,megalopaF_5,megalopaF_6,larvaeI_1,larvaeI_2,larvaeI_3,larvaeIII_1,larvaeIII_2,larvaeIII_3,larvaeV_2,larvaeV_4,larvaeV_6
LOC126982240,0.19,0.13,0.19,33.36,33.17,14.05,14.52,21.34,21.83,7.47,16.08,2.07,2.8,3.56,0.55,0.27,2.28,0.33,0.48,0.59
LOC126982241,0,0.03,0,0.15,0.02,0.15,0.07,0.22,0.15,0,0.21,0,0.05,0.06,0,0,0.02,0,0,0
LOC126982242,0.08,0.09,0.15,2.33,1.9,5.5,5.96,6.44,4.38,1.89,2.75,4.51,3.08,3.3,0.98,0.74,2.34,1.16,1.4,2.37
LOC126982243,0,0,0,0.57,0.3,0,0,0,0.07,0,0.15,0,0,0,0,0.04,0,0,0.05,0
LOC126982244,332.06,428.83,415.05,1267.01,1229.04,852.11,795.61,1018.4,1126.3,819.65,1128.21,502.14,656.29,512.42,179.43,325.74,313.39,260.97,478.38,269.5
LOC126982245,13.02,18.6,14.99,14,12.73,7.07,6.66,8.55,9.99,9.25,12.35,4.31,2.81,2.84,2.02,2.88,2.93,3.75,2.15,1.54
LOC126982246,0.08,0.24,0.21,0,0.05,0.11,0.24,0.29,0.4,0,0,0,0.13,0,0,0.1,0.28,0.05,0.14,0.08
LOC126982247,0.03,0.04,0,0.09,0.16,0.29,0.18,0.57,1.04,0.1,0.19,0.08,0.11,0.24,0.03,0.02,0.07,0,0.16,0
LOC126982248,0,0.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC126982249,0,0,0,0,0,0,0,0,0,0,0.07,0,0,0,0.04,0,0,0,0.05,0.05
LOC126982250,1.69,2.93,0.8,3.46,3.26,2.23,3.08,2.67,5.1,8.04,6.3,2.89,3.07,3.94,0.65,1.35,1.19,1.16,1.43,1.39
LOC126982251,56.33,44.61,43.66,154.34,168.06,87.11,94.04,64.82,66.16,67.75,69.47,37.81,49.96,38.68,23.97,32.41,30.3,39.73,17.75,25.23
LOC126982252,0.57,3.26,0.32,3.36,1.48,1.63,1.76,4.34,1.76,0.85,0.87,0.81,0.64,0.45,0.34,0.98,1.03,0.67,2.71,2.21
LOC126982253,42.62,55.45,46.71,20.44,18.71,21.51,24.76,29.81,34.36,24.23,28.21,15.51,12.12,12.82,6.23,8.13,9.63,5.35,12.26,13.31
LOC126982254,0.55,2.66,1.27,2.15,1.86,4.64,5.18,15.49,13.22,3.1,8.12,5.3,5.47,4.74,1.72,2.35,3,1.32,10.12,15.9
LOC126982255,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12,1.8,0.25,0.44,1.64,0.34,0.26
LOC126982256,0,0.25,0.16,0,0,0.09,0,0,0.54,0,0.53,0,0,0.24,0,0.16,0.09,0,0.69,0.26
LOC126982257,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC126982258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC126982259,3.25,13.47,8.51,5.02,5.77,5.63,7.16,8.98,9.38,2.35,7.38,3.22,4.77,2.24,0.95,1.62,1.28,0.98,2.62,1.31
LOC126982260,7.49,16.22,13.27,3.15,3.89,3.9,5.14,6.69,5.37,1.3,3.36,0.9,2.02,0.82,1.09,0.98,0.7,0.66,1.6,1.13
LOC126982261,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC126982262,48.15,65.47,43.41,19.72,19.29,21.45,22.42,27.34,20,15,19.38,23.19,20.16,24.28,5.48,5.06,6.65,7.58,8.61,12.28
LOC126982263,60.41,84.12,115.16,25.6,29.33,30.51,24.79,43.45,38.03,15.54,33.03,30.03,27.33,29.67,7.3,8.4,10.14,7.89,12.6,10.91
LOC126982264,1.42,4.88,0.81,1.69,2.07,1.53,1.92,2.69,2.16,1.25,1.52,0.28,2.45,1.09,0.56,0.49,0.17,0.53,1.11,0.63
LOC126982265,0.15,0.18,0,0.07,0,0.06,0,0,0.1,0,0,0.06,0,0,0,0,0,0,0,0
LOC126982266,0,0,0,0,0,0,0,0,0,0,0.24,0,0,0,0,0,0,0,0,0
LOC126982267,19.34,20.16,19.47,9.76,9.85,4.46,3.44,4.56,8.33,3.66,7.3,1.06,1.15,0.73,2.28,3.05,2.39,3.2,2.37,2.57
LOC126982268,0.16,0.17,0.07,5.14,3.81,2.69,3.08,3.97,2.89,1.41,3.84,0.13,0.48,0.48,0.06,0.27,0.17,0.1,0.15,0
LOC126982269,0,0,0,0.69,0,0,0.2,0.35,0.31,0,0,0,0,0,0,0,0,0,0,0
LOC126982270,0,0,0.15,2.77,2.12,1.88,0.75,2.31,1.91,1.44,1.49,0.19,0.1,0.2,0,0.16,0,0,0.22,0
LOC126982271,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC126982272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC126982273,0,1.92,3.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC126982274,0.07,0.07,0,0.06,0,0.1,0.06,0,0.18,0.15,0.1,0,0.06,0,0.11,0.05,0,0.05,0.07,0
LOC126982275,26.16,33.47,31.14,49.7,42.12,33.75,31.84,46.34,37.73,27.08,38.22,16.75,15.81,15.35,5.72,13.34,9.39,8.43,11.42,10.5
LOC126982276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC126982277,0.12,0.26,0.42,0.72,1.27,0.38,0.98,4.1,2.21,0.39,0.61,0.44,0.25,0.19,0.14,0.45,0.36,0,0.99,0.55
LOC126982278,0.16,0.09,0.06,0.46,1.15,0.72,0.76,3.31,2.23,0.33,1.22,0.5,0.14,0.32,0.11,0.29,0.38,0.05,0.24,0.13
LOC126982279,0,0,0,0,0,0,0,0,0,0.04,0,0,0,0,0,0,0,0,0,0
LOC126982280,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC126982281,0.81,0.46,0.08,4,3.51,3.07,3.02,6.29,5.02,4.02,3.63,2.1,1.11,1.6,0.55,1.23,1.36,0.31,1.36,0.95
LOC126982282,13.34,11.32,13.39,2.11,2.15,1.3,1.17,1.21,2.5,1.4,2.51,0.66,0.57,0.53,0.41,0.74,0.62,0.4,0.93,0.43
LOC126982283,0.37,2.64,2.06,0.73,0.74,0.94,1.39,2.55,2.67,0.11,1.4,0.16,0.39,0.29,0.29,0.48,0.39,0.13,0.54,1.1
LOC126982284,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0
LOC126982285,114.42,90.77,124.34,70.96,72.04,49.18,46.77,51.72,67.64,67.59,65.57,33.23,37.49,24.97,37.77,56.49,39.57,40.11,44.25,31.84
LOC126982286,1.02,2.02,0.63,0.74,0.5,0.94,1,2.32,1.48,0.58,1.04,0.66,0.62,0.49,0.31,0.37,0.49,0.14,1.14,1.18
LOC126982287,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC126982288,18.84,37.45,25.52,58.89,59.41,58.73,103.19,57.92,249.75,165.17,223.8,125.89,104.66,127.14,10.48,11.56,17.4,8.61,25.94,36.4
LOC126982289,22.13,23.25,22.35,35.67,38.07,21.28,14.53,43.2,29.09,11.1,23.36,11.27,13.71,9.48,9.2,15.9,12.69,14.38,19.19,15.05
LOC126982291,12.23,18.25,12.93,13.89,12.14,7.53,7.93,14.44,9.38,7.18,8.36,4.3,7.43,3.62,3.35,4.7,3.57,3.55,4.34,4.7
LOC126982292,16.31,19.22,17.17,26.27,23.17,13.91,12.44,25.47,17.37,13.6,14.28,8.54,15,5.46,7.57,12.32,13.63,11.76,15.59,11.32
LOC126982293,0.1,1.49,0.78,0.19,0,0.04,0,0.2,0.34,0.11,0.15,0,0,0,0,0.04,0.04,0,0,0
LOC126982294,7.65,6.71,6.09,2.49,2.73,2.54,3.69,2.15,5.02,6.2,5.99,2.34,3.67,1.26,0.8,0.71,1.21,0.42,1.18,0.94
LOC126982295,6.19,8.31,2.75,3.9,3.06,2.55,3.85,2.32,4.76,8.64,4.86,3.98,5.44,4.12,0.74,1.23,1.22,0.44,1.53,1.36
LOC126982296,0,0,0,0,0,0,0,0,0,0.65,0.87,0,0,0,0,0,0,0,0,0
LOC126982297,14,42.77,44.03,8.9,9.37,8.27,9.12,30.93,22.72,4.69,11.05,2.29,2.77,3.28,1.67,2.7,4.57,1.98,11.64,6.75
