transcript_id,egg_1,egg_5,egg_7,zoea_1,zoea_2,megalopaS_01,megalopaS_02,megalopaS_04,megalopaF_2,megalopaF_5,megalopaF_6,larvaeI_1,larvaeI_2,larvaeI_3,larvaeIII_1,larvaeIII_2,larvaeIII_3,larvaeV_2,larvaeV_4,larvaeV_6
XR_007762644.1,0.030715,0.013834,0.032152,0.104474,0.165373,0.349057,0.188461,0.018717,0.276464,0.095391,0.511752,0.111102,0.030415,0,0.094462,0.038823,0.106761,0,0,0.027595
XR_007762630.1,0.030088,0.028242,0,0.109868,0.032634,0.143422,0.225002,0.030907,0.077198,0.09004,0.130891,0.091339,0.088064,0,0.231718,0.06375,0.052905,0,0,0.152743
XR_007762637.1,0.028838,0.025808,0,0.08859,0.07574,0.105868,0.107416,0.024263,0.065527,0.170729,0.104848,0.228018,0.396532,0,0.331748,0.197066,0.10892,0,0,0.140566
XR_007762647.1,0.021783,0.1907,0,0.13624,0.063542,0.175032,0.3319,0.042592,0.256494,0.278908,0.231559,0.453633,0.070035,0,0.277741,0.209924,0.08973,0,0,0.373638
XR_007762643.1,0.022211,0.026575,0,0.12663,0.020009,0.124313,0.174646,0.019081,0.071,0.134622,0.369599,0.044619,0.097353,0,0.250424,0.060766,0.075697,0,0,0.384845
XR_007762640.1,0.02334,0,0,0,0.021311,0.071374,0.092969,0.02087,0.049697,0.084276,0.07937,0.043624,0.035128,0,0.130058,0.051582,0.055208,0,0,0.03019
XR_007762633.1,0.122278,0.02493,0.034323,0.099196,0.087588,0.092237,0.133049,0.026554,0.140191,0.132721,0.071005,0.040814,0.560253,0.036135,0.286623,0.163654,0.134369,0,0,0.047221
XM_050883558.1,0.043571,0.067943,0.033871,0.121512,0.097734,0.158349,0.130127,0.10438,0.398467,0.393043,0.416332,0.079073,0.143708,0.04489,0.196871,0.293826,0.38788,0,0,0.243164
XR_007762639.1,0.034195,0.028141,0.030517,0.09578,0.299335,0.06429,0.175471,0.149848,0.500754,0.347532,0.45937,0.049976,0.361253,0.01704,0.213482,0.212511,0.30141,0,0,0.038949
XR_007762645.1,0.031704,0.026044,0.026453,0.185723,0.29698,0.971734,0.942542,0.105906,0.539958,0.422167,1.1536,0.379309,0.116009,0.131845,0.351852,0.072511,0.346292,0,0,0.039457
XR_007762628.1,0.140874,0.026374,0.109514,0.305278,0.378927,0.669815,0.081225,0.130351,0,0.698465,0.344854,0.370014,0.349752,0,0.391536,0.544054,0.412097,0,0,0.265252
XR_007762611.1,0.085624,0.026172,0.042606,0.143154,0.178582,0.491179,0.215743,0.052838,0.251218,0.129009,0.468694,0.262128,0.070618,0.05432,0.210307,0.270032,0.142113,0,0,0.052371
XR_007762617.1,0.06324,0.026255,0,0.215017,0.035636,0.38178,1.00531,0.31553,1.068614,0.900268,0.569598,0.522956,0.440699,0.190985,0.509161,0.818623,0.375683,0,0,0.344588
XR_007762626.1,0.054109,0.028937,0.05249,0.097916,0.103965,0.110155,0.191519,0.092925,0.173965,0.133913,0.12063,0.455119,0.06308,0.062889,0.153911,0.106562,0.116516,0,0,0.124765
XR_007762632.1,0.043304,0.028048,0,0.100534,0.031522,0.054702,0.168656,0.061931,0.110271,0.064045,0.257267,0.139694,0.169993,0.057255,0.258111,0.274813,0.08407,0,0,0.127375
XR_007762612.1,0.045842,0.0265,0.04927,0.19507,0.122274,0.319832,0.297268,0.068185,0.281108,0.170129,0.400506,0.345878,0.086833,0.248984,0.147658,0.201604,0.193503,0,0,0.271218
XR_007762622.1,0.039586,0.029184,0.043436,0.083256,0.17731,0.191478,0.167685,0.145966,0.176524,0.105565,0.088691,0.37215,0.045039,0.039463,0.153422,0.132942,0.11587,0,0,0.061724
XR_007762614.1,0.038845,0.028567,0.042163,0.078765,0.065935,0.057896,0.121011,0.054062,0.154818,0.128248,0.086368,0.052796,0.048485,0.039368,0.116657,0.093903,0.107329,0,0,0.056907
XR_007762627.1,0.030356,0.029185,0,0.08386,0.027577,0.058525,0.133679,0.047213,0.106283,0.046064,0.218547,0.043876,0.260345,0.035024,0.201006,0.184949,0.079981,0,0,0.047708
XR_007762623.1,0.028543,0,0,0,0.02283,0.023398,0.09159,0.026368,0.044082,0.04268,0.062916,0.033189,0.036961,0.01681,0.072984,0.053707,0.068321,0,0,0.043064
XR_007762635.1,0.027232,0,0,0,0.028076,0.038341,0.17348,0.040797,0.107719,0.078464,0.222115,0.035426,0.111589,0.020704,0.076507,0.075513,0.085266,0,0,0.061557
XR_007762634.1,0.025443,0.047338,0,0.104342,0.031538,0.070462,0.172299,0.058471,0.096805,0.11542,0.203242,0.04444,0.05911,0.039454,0.215784,0.08458,0.10106,0,0,0.035156
XR_007762610.1,0.034461,0.025593,0,0.089318,0.08003,0.295449,0.197671,0.116145,0.189,0.306621,0.35898,0.149133,0.313502,0.17841,0.113356,0.578496,0.429991,0,0,0.063147
