transcript_id,egg_1,egg_5,egg_7,zoea_1,zoea_2,megalopaS_01,megalopaS_02,megalopaS_04,megalopaF_2,megalopaF_5,megalopaF_6,larvaeI_1,larvaeI_2,larvaeI_3,larvaeIII_1,larvaeIII_2,larvaeIII_3,larvaeV_2,larvaeV_4,larvaeV_6
XM_050875193.1,0,0.2,0,0,0,0.07,0.22,0.18,0,1.46,2.14,554.66,544.72,282.89,1168.14,1091.24,854,1255.3,1276.68,855.44
XM_050875194.1,0,0,0,0.16,0.13,0.07,0.15,0.26,12.31,70.21,80.99,84.12,34.6,45.06,317.8,272.04,393.84,201.49,284.31,261.35
XM_050875195.1,0,0.19,0.12,285.55,279.93,454.91,553.91,464.25,525.98,764.61,634.3,35.2,45.55,24.81,96.17,43.57,83.65,79.97,122.21,115.26
XM_050875196.1,0,0,0.12,126.07,125.78,274.59,340.09,289.82,395.08,559.48,402.12,10.13,12,9.27,25.76,3.65,35.42,55.04,34.85,30.25
XM_050875197.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
XM_050875198.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
XM_050875199.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
XM_050875200.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
XM_050875201.1,0,0,0,0.53,1.1,0,0,1.18,0.65,1.01,0,0.38,0,0,0.16,0.1,0.1,0.03,0,0
XM_050875202.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
XM_050875203.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
XM_050875204.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
XM_050875205.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
XM_050875206.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
XM_050875207.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
XM_050875208.1,0,0,0,0,0,0,0.04,0,0,0.11,0,0,0,0,0.08,0,0,0,0,0
XM_050875209.1,0.44,0.61,0,19.64,21.38,15.75,19.43,22.4,48.48,50.66,62.78,37.24,68.68,23.44,48.77,52.53,68.71,63.31,94.25,30.93
XM_050875210.1,0,0,0,2.04,0.8,5.11,6.66,3.21,0,0,6.04,17.41,0.66,0,2.1,14.03,1.67,2.22,7.55,25.14
XM_050875211.1,0.08,0,0.11,0.64,0,1.19,1.38,0,2.13,0.55,1.99,0,0.79,0.67,0,0,0,0,0.14,0.11
XM_050875212.1,0,0,0,0,0,0,0,0,0,0,0,0.09,0.06,0,0,0,0,0,0,0.04
XM_050875213.1,0,0,0,0,0.03,0,0,0,0,0,0,0.22,0,0,0,0,0.03,0,0.04,0
XM_050875214.1,0.32,0.22,0.19,1.92,1.69,1.28,1.61,2.52,2.9,1.74,2.03,0.98,0.6,1.09,0.32,0.21,0.37,0.2,0.28,0.13
XM_050875215.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
XM_050875216.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
XM_050875217.1,0.2,0.11,0,0.38,0.3,0,0,0,0,0,0,0.1,0,0,0,0.14,0.52,0.4,0.69,0
