transcript_id,eyestalk1,eyestalk2,eyestalk6,ganglion1,ganglion5,ganglion6,gill1,gill2,gill5,heart1,heart2,heart5,hepatopancreas2,hepatopancreas4,hepatopancreas5,intestine1,intestine3,intestine4,muscle1,muscle2,muscle5,ovary1,ovary2,ovary5,stomach1,stomach2,stomach5,testist3,testist4,testist6
XM_050860849.1,3.21,9.02,3.81,18.86,39.78,5.74,5.71,5.99,15.02,3.81,7,6.02,9.28,4.4,7.31,13.18,10.63,0,4.11,2.28,5.32,18.25,43.38,12.52,8.54,6.33,2.9,0.64,2.5,2.46
XM_050860850.1,0,0,0,0,0,0,0,0,0,0,0,0,0,2.09,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0
XM_050860851.1,0.86,0,0.46,0.72,0,0.72,0,0.82,2.03,0,1.06,0,1.17,0,1.79,0.57,1.3,0.73,1.3,0.07,0,0.9,2.11,4.33,0,0.62,0.86,0.07,0.02,0.09
XM_050860852.1,0,0,0,0,3.13,0,0,0,0,1.69,0,2.17,0,0,0,0,0,0,0,0,1.18,1.37,0.84,0,0,0,0,0,0,0
XM_050860853.1,0.32,1.51,0,2.06,0.5,0,1.32,0,0,1.27,0,0.35,0.57,0.29,0,0,0.39,0,0,1.31,0,0.44,0.3,0.3,0.24,0,0.21,0,0,0
XM_050860854.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.31,0,0,0,0,0
XM_050860855.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
XM_050860856.1,0,1.38,0,0,0,0,0,0.95,0,0.36,0.64,0.56,1.59,0.61,0.65,0.25,0,0,0,0,0.15,0.63,1.06,0.28,0.55,0,0,0,0,0.64
XM_050860857.1,0,0,0,0.77,0,0,0,0,0,0,0,0,0.31,0.31,0,0.24,0,0,0,0.35,0,0.17,0.44,0,0,0,0,0,0,0
XM_050860858.1,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.18,0
XM_050860859.1,0,0.75,0,0.94,1.26,0,0.6,0.91,0,0.74,0.44,0,0,0,0,1.37,0.36,0,0.53,0.97,0,0,0,0,0,0.33,0,0,0,0.13
XM_050860860.1,0,0.77,0.58,2.46,1.07,0.92,0,0,1.75,1.9,0.37,0.75,0,1.32,0.48,0.83,0.3,0,0,0,0.2,0,0,0.17,0.34,0.22,0.17,0,0.5,0
XM_050860861.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.36,0,0.34,0,0,0,0,0
XM_050860862.1,0,0.4,1.32,0.58,0,0,0,0.54,0,0,0.7,0,2.43,2.07,0,2.1,0.43,0,0,0,0.16,0,0,0,1.06,0.67,0,0,0.52,1.21
XM_050860863.1,0,1.05,0.02,0.1,0.2,0.24,1.55,1.28,0.26,0.03,0,1.48,0.02,2.58,0.06,2.96,0.1,0.13,0,0.09,1.21,0.08,1.04,0.87,0.27,2.91,0.07,0,2.42,0.97
XM_050860864.1,0,0,0.23,1.18,1.94,2.65,0,0,2.48,0.23,0,0,0.27,0,0.53,0,0.72,2.03,0,0.72,0,0.56,0,0,2.95,0,0.54,0,0,0
XM_050860865.1,0,0,0,3.66,0,0.13,0,1.81,0,1.16,3.59,0,2.22,0.42,0,0,0,3.72,5.18,0,2.67,0.43,0.82,0.75,5.54,0,0,0,0.41,0.44
XM_050860866.1,0.79,3.06,2.1,0,4.18,1.58,1.37,0.97,1.85,3.54,1.63,2.81,0.65,1.39,2.24,1.06,3.34,0,0,2.21,0.72,0,0,0,6.89,5.18,3.04,1.25,0,0
XM_050860867.1,0.12,1.34,0.86,2.7,0,0.49,2.48,0.59,2.67,1.7,2.99,2.33,2.19,2.42,2.2,2.1,1.26,0,2.41,1.42,0.96,4.84,4.15,3.7,1.49,2.16,0.87,0.57,0.89,1.11
XM_050860868.1,0,4.12,0.88,3.78,2.3,1.99,3.82,2.45,0,0.88,1.84,1.22,3.74,3.58,1.15,2.76,1.79,2.61,0.35,1.09,1.47,4.38,4.64,3.93,3.07,2.77,0.22,0,0.96,1.71
XM_050860869.1,0.79,0,5.04,0.75,3.62,6.63,0,0,0,0,0.01,2.58,1.83,2.91,0,2.58,0,14.95,0,1.03,0.26,0,0,0,0,0,3.34,0.14,0,0
XM_050860870.1,7.67,5.38,4.81,21.2,23.57,19.59,8.62,9.2,15.58,8.83,7.13,12.72,7.96,8.92,11.14,10.5,10.46,13.53,5.08,6.04,7.08,12.42,17.66,16.19,19.11,16.57,15.33,6.53,3.49,2.94
XM_050860871.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
XM_050860872.1,0.82,0,4.65,5.73,3.06,3.42,2.35,1.17,2.82,0.46,1.21,0.89,10.92,7.07,8.31,3.09,8.88,3.83,0.48,0,1.45,2.94,12.69,1.83,5.66,4.31,1.46,0.43,1,1.97
XM_050860873.1,0,2.81,0,0,0.46,0,0,0.52,0,0.41,0,0,1.69,0.5,0,0,0.47,0,0,0,0,0,0.57,0.69,0.36,0.81,0.31,0,0,0
XM_050860874.1,0,0,0.61,0.31,0,2.65,0.5,0,0.36,0,0,0.17,1.75,0,1.6,0,0.63,0,0,0,0,0.11,0.45,0,0,0,0,0,0,0
XM_050860875.1,0.62,0,0,1.17,2.68,1.34,0.75,2.3,1.82,0,0,1.21,2,4.24,4.58,0.74,5.63,0.65,0,0.77,0,0.4,1.09,0.57,4.58,4.7,3.24,0.3,0.2,0.15
XM_050860876.1,1,4.1,1.12,4.11,2.83,9.2,2.42,4.32,4.74,0.75,2,0.96,7.39,5.96,6.28,3.97,6.58,1.41,0.4,0.86,0.5,3.17,18.14,3.35,4.84,2.39,1.78,0.65,1.76,1.3
XM_050860877.1,0,0,0,0,0,0,0,0,0,0,0,0.71,0.58,0,0,0,0,0,0,0,0,0,0.93,0,0,0,0,0,0,0
XM_050860878.1,0,0,0.06,0,0.38,1.24,0,0,0.32,0.18,0,0.22,0,0,1.56,0,0,0.89,0.24,0.13,0.45,1.43,0,0,0,0.22,0,0.04,0,0.15
XM_050860879.1,0,0.93,0,0.52,4.23,0,4.29,0.79,1.92,1.06,0,0.61,0.26,2.77,0.43,7.18,0.71,12.69,0,0,0.24,1.03,6.68,1.93,1.03,0,1.26,0,0,0
XM_050860880.1,0,0,0,0.35,0,0,0,0,0,0,0,0,3.8,0.97,0,0,2.28,0,0,0,0,0.7,0.98,1.29,0,0,0,0,0,0
XM_050860881.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.19,0,0,0,0,0,0,0
XM_050860882.1,0,0,0,0,0,0,0,0,0.68,0,0,0,0,0,0,0.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0
XM_050860883.1,0.15,0,0,0,0,0,0,0,1.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.44,0,0,0.15,0,0.18,0
XM_050860884.1,0,0.49,0,0.1,0,0,0.18,0.59,0,0,0.06,0,0,0.06,0.09,0.21,1.25,0,0.22,0,0,0,0,0.08,0.32,0.14,0,0,0,0
XM_050860885.1,0,0,0,0,0,0,0,0.61,0,0,0,0,0,0.32,0,0,0,0,0,0,0,0,0.21,0,0,0,0,0,0,0
XM_050860886.1,7.51,8.56,6.33,47.89,31.3,15.11,13.39,13.41,15.49,10.09,10.73,10.47,1.5,2.52,3.56,4.82,22.29,1.61,2.77,7.3,4.69,7.52,3.27,6.87,50.59,33.05,30.45,3.29,4.35,2.96
XM_050860887.1,0,2.2,0.89,4.32,2.17,0,5.13,2.85,2.52,3.97,2.02,1.21,1.81,3.02,0,2.98,2.76,0,1.96,0.97,0.26,1.82,17.51,1.04,9.59,0,0,0.39,1.24,2.41
XM_050860888.1,1.77,0.63,0,2.73,0,4.72,0,0,0.17,0,0,0,1.23,0,0,0,0,0,0.42,0,0.31,0,0,0,0,7.28,1.26,0,0,0
XM_050860889.1,0,0,0,1.31,0,0,0,0.98,0,0.64,0,0,0,0,0,0,0,0.48,1.6,0,0.58,0,3.4,0,1.25,0.67,0,0,0,0
XM_050860890.1,3.75,3.69,1.11,7.64,4.43,6.2,4.92,9.18,6.26,2.08,2.19,3.13,5.83,3.9,3.75,2.82,6.96,2.46,1.82,1.36,1.49,7.56,91.8,10.86,24.82,11.39,6.06,1.72,2.16,1.78
XM_050860891.1,0,0,0,0,0,0,0,0,0,0,0.73,0,0,0.59,0.74,0.93,0,0,0,0,0,0,3.49,0,0.56,0.73,0,0,0.48,0
XM_050860892.1,4.8,2.5,1.57,7.15,6.11,2.7,3.84,4.53,6.64,3.46,5.12,4.41,2.68,5.02,3.34,2.27,2.33,3.66,3.54,1.85,2.55,4.57,5.14,4.4,10.67,7.18,4.22,1.7,1.6,1.01
XM_050860893.1,304.6,269.74,171.52,382.72,268.64,415.84,561.62,529.63,655.14,1021.4,1219.38,929.69,188.72,247.78,300.45,444.44,286.4,562.88,706.89,737.61,562.55,225.79,237.56,235.78,550.88,726.58,433.2,60.03,75.43,81.9
XM_050860894.1,0,0,0,0,0,0,0,0,1.23,0,0,0,0,0.97,0,0,5.56,0,0,0,0,0,0,0,1.23,0,0.46,0,0,0
XM_050860895.1,0.44,0,0,1.72,0,16.61,0,9.71,1.38,0,0,0,4.61,3.87,2.47,0,62.7,0,1.35,0,0.98,0,0,0.31,19.94,10.51,3.93,0.14,0.32,0
XM_050860896.1,0.48,0,0,1.58,0.84,6.75,4.8,3.8,0.06,0.56,0.41,0,0,0,0,0.69,1.84,0,0,1.2,0.52,0.15,0,0.17,5.64,1.65,3.12,0,0,0.17
XM_050860897.1,13.34,24.29,5.25,50.35,59.28,27.23,32.98,50.49,36.15,25.69,47.47,32.65,38.15,24.34,14.1,22.65,46.15,34.05,14.78,61.31,9.33,74,59.77,57.38,46.92,69.98,18.73,3.34,12.16,5.08
XM_050860898.1,4.69,1.45,7.55,12.01,12.8,6.55,8.77,7.74,8.19,13.88,6.29,10.83,2.13,8.53,8.78,11.35,1.27,18.47,10.09,4.71,7.85,38.69,17.72,36.36,16.74,4.95,7.07,2.88,5.64,4.53
XM_050860899.1,4.23,23.29,18.04,45.72,75.9,26.52,12.12,29.41,22.28,3.57,9.74,8.78,32.62,46.27,25.89,16.37,60.57,24.43,2.61,4.63,1.9,5.59,26.29,9.32,8.86,16.83,4.27,3.12,8.31,4.56
XM_050860900.1,0,0,0,0,1.48,29.24,2.58,0,1.31,0,0,0,0.67,1.09,0,1.99,0,0,0,0,0,0,0,0,0,0,8.88,0,0,0.87
XM_050860901.1,31.6,34.44,23.08,62.75,67.37,79.34,68.53,104.35,114.72,57.66,85.67,56.22,33.44,51.77,42.63,35.48,68.76,58.5,36.33,51.25,32.12,23.82,24.74,25.26,80.5,73.8,48.42,11.32,11.97,10.68
XM_050860902.1,6.01,0,0,10.56,4.18,0,5.51,8.72,2.7,9.65,6.76,5.56,11.87,4.35,7.42,2.07,13.01,2.4,8.03,3.38,6.73,6.62,5.23,5.28,67.62,3.11,2.15,0,0,0
XM_050860903.1,65.55,85.11,50.53,76.48,78.61,89.91,94.69,84.97,121.57,40.06,43.85,59.54,80.17,68.34,72.56,93.91,92.52,105.3,52.69,34.7,37.64,76.52,83.78,85.05,77.01,67.6,50.49,100.63,116.57,117.15
XM_050860904.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
XM_050860905.1,0,3.17,1.98,0,0.96,0.96,0,8.11,17.74,1.29,1.11,0,0,0,0,1.66,0,0,0.5,0.56,0.46,3.9,8.07,4.57,1.01,3.55,2.28,1.02,1.96,2.1
XM_050860906.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
XM_050860907.1,0.34,0,0,0.72,0.38,0,0,0,0,0,0,0,0,0,0,1.6,0,0,0.39,0,0,0,0.61,0,2.34,0,0,0,0,0.52
XM_050860908.1,0,0,0,0,0,0,2.9,0,0,0,0,0.7,0.11,0,0.14,0,0.07,1.73,0,0,0,0,0,0,0,0,0,0,0,0
XM_050860909.1,0.91,0,0,0,0,0,3.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.76,0,0,0,0,0
XM_050860910.1,0,0,0,0,0,0,0,0,5.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.84,0,0,0
