gene_id,eyestalk1,eyestalk2,eyestalk6,ganglion1,ganglion5,ganglion6,gill1,gill2,gill5,hepatopancreas2,hepatopancreas4,hepatopancreas5,heart1,heart2,heart5,intestine1,intestine3,intestine4,muscle1,muscle2,muscle5,ovary1,ovary2,ovary5,stomach1,stomach2,stomach5,testis3,testis4,testis6
LOC126996496,0.57,11.52,5.5,20.79,19.09,3.8,5.97,10.71,11.82,19.91,18.08,6.61,8.28,8.92,8.01,21.02,7.35,3.84,10.34,3.57,13.41,8.01,11.55,7.32,4.12,3.25,0.62,1.27,4.98,6.35
LOC126996497,3.32,10.07,6.27,15.93,20.2,16.67,4.64,7.21,8.09,15.48,16.66,14.82,11.36,10.97,8.79,6.03,20.29,5.76,9.61,7.94,5.82,2.55,6.83,2.66,11.79,11.12,4.46,2,4.85,3.13
LOC126996498,0.19,0.26,0,0.28,1.17,0.69,0.24,0.29,0,0.31,0.23,0.12,0.1,0.33,0.13,0,1.57,0.22,0,0,0.05,50.88,74.2,46.92,0.18,1.51,0.29,0,0.03,0.1
LOC126996499,1.56,2.53,1.32,8.79,6.72,5.01,4.07,3.97,5.8,3.15,3.87,3.25,3.39,3.78,5.35,3.23,3.71,3.62,1.74,1.09,2.14,6.6,11.14,6.59,12.75,7.04,4.08,1.12,2.28,1.68
LOC126996500,0,0,0.09,0.17,0,0,0,0,0,0,0.11,0,0,0,0,0.34,0,0.09,0,0,0,0.28,0.07,0,0.21,0.07,0,0,0.44,0
LOC126996501,26.18,34.65,29.74,94.38,110.39,64.38,48.12,47.33,77.02,57.82,67.82,54.67,70.32,66.84,72.69,57.31,70,73.14,82.45,51.47,51.32,19.84,32.53,28.69,36.95,40.62,22.4,17.04,16.15,11.37
LOC126996502,0,0.17,0,0,2.61,0,0,0,0.06,0,0,0,0,0,0,0.78,0.09,0.87,0,0,0,0.37,1.07,2.24,0,0,0.02,0,0.02,0
LOC126996503,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC126996504,9.67,11.83,10.93,36.71,40.1,27.4,11.85,13.49,15.69,7.19,9.12,9.45,14.59,21.99,12.04,22.62,19.6,20.02,2.84,10.21,3.5,11.25,92.92,11.32,16.25,15.12,11.67,2.26,5.54,4.31
LOC126996505,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15,0,0,0,0,0,0,0,0
LOC126996506,0,0,0.05,0.06,0,0,0,0,0,0.2,0.04,0,0.04,0,0,0,0.04,0,0,0,0,0,0,0.07,0,0,0,0,0.02,0
LOC126996507,0.23,0.73,0.29,0,0,0.53,0,0,0,0.63,0.06,0,0,0,0,0,0.07,0,0,0,0,0.44,0,0,0.28,0,0,0,0,0
LOC126996508,0.25,1.36,1.22,1.54,0.15,0.96,0,1.8,0.09,0.78,0.5,0,0.23,0.78,0,3.53,0.34,0,0.14,0,0,0.58,3.42,0.91,2.51,6.21,0.31,0.14,1.04,0.54
LOC126996509,0.24,2.32,2.65,1.83,5.02,0.09,0,0,0,0,0,0.06,0,0,0.06,0.03,0.19,0.11,0,0,0.06,0.01,0.05,0.39,0.06,0.76,0.88,0.01,0.21,0.2
LOC126996510,1.56,3.03,6.45,3,9.62,0.21,0,0,0,0.08,0.1,0.05,0.08,0,0,0.06,0.4,0.27,0,0,0,0.02,0.06,1.26,0,0.97,3.24,0.05,0.35,0.21
LOC126996511,0,0,0,0.03,0.1,0,0,0,0,0,1.39,0,0,0,0,2.1,0,0.82,0,0,0,0.06,0.08,0,0,0.09,0,0,0.02,0
