gene_id,eyestalk1,eyestalk2,eyestalk6,ganglion1,ganglion5,ganglion6,gill1,gill2,gill5,hepatopancreas2,hepatopancreas4,hepatopancreas5,heart1,heart2,heart5,intestine1,intestine3,intestine4,muscle1,muscle2,muscle5,ovary1,ovary2,ovary5,stomach1,stomach2,stomach5,testis3,testis4,testis6
LOC126980185,4.02,6.11,3.73,9.47,7.72,30.18,5.27,9.02,10.58,33.71,42.45,23.04,4.53,5.44,5.14,10.58,20.06,7.08,1.91,1.91,2.2,4.58,7.97,6.35,16.22,9.2,6.37,4.53,2.05,2.91
LOC126980186,2.97,3.58,2.4,0.43,0.93,1.5,7.71,3.31,7.91,0.53,1.6,1.23,55.15,38.73,30.34,2.89,1.12,2.99,0.53,0.47,0.86,0.2,0.39,0.93,0.73,0.83,0.33,0.08,0.03,0.1
LOC126980187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.01,3.56,4.53,0,0,0,0,0,0
LOC126980188,0.34,2.74,2.65,7.83,15.3,1.81,1.97,2.81,10.86,0.91,0.72,1.3,1.54,4.2,4.3,2.76,9.69,1.02,0,1.21,2.11,0.72,1.74,2.16,1.8,4.92,1.22,0,0.7,0.51
LOC126980189,30.46,56.65,2.03,101.32,48.24,8.14,79.23,128.1,37.43,64.4,2.88,19.86,39.73,56.61,21.58,3.66,94.33,7.07,36.3,43.24,11.33,43.52,80.9,19.55,152.22,99.79,34.8,1.45,3.29,6.82
LOC126980190,0,0,0.04,0,0,0,0,0.05,0.14,0,0,0,0,0,0,0.25,0,0.05,0.04,0,0,0,0,0,0,0,0.02,0,0.05,0.11
LOC126980191,1.71,4.78,4.27,6.32,12.05,2,7.87,7.3,69.14,0.68,0.03,0.6,4.77,9.76,4.07,5.23,0.48,5.92,0.41,2.04,0.95,2.03,3.68,3.78,1.29,1.68,0.98,3.03,5.95,2.71
LOC126980192,1.47,2.78,0.56,4.33,0.14,7,0.35,0.27,0.09,8.02,10.2,8.86,0,0.03,0,0.67,9.15,0.09,0.12,0.02,0.05,0.08,0.04,0.03,1.01,0.65,2.17,0.36,0.08,0
LOC126980193,0.07,4.29,0.09,0.09,0.16,0.32,0.03,3.61,0.06,14.75,0.15,0.17,0.01,5.72,0.09,0.14,0.1,0.19,0,2.63,0.04,0.61,8.45,0.52,2.23,7.64,1.2,0.04,0.09,0.06
LOC126980194,11.31,14.37,11.97,33.83,38.21,34.78,21.35,23.82,34.4,16.94,19.52,21.68,38.62,33.26,35.14,23.85,33.24,36.73,19.24,15.3,12.67,22.63,28.22,22.05,45.48,32.11,21.51,13.99,14.19,11.68
LOC126980195,0,0,0,0,0,0,0,0,0,0.09,0,0,0,0,0,0.04,0,0,0.05,0,0,0.09,0,0,0,0,0,0,0,0
LOC126980196,2.69,2.98,2.66,7.52,5.68,3.1,3.38,4.13,4.81,3.06,2.34,2.23,4.65,5.13,3.97,4.01,6.2,2.52,2.8,2.98,1.35,4.2,8.64,3.23,4.36,4.54,2.4,0.53,0.69,1.34
LOC126980197,0,0,0,0.07,0.45,0.15,0,0,0,0,0.07,0,0,0,0,0,0.03,0.07,0,0,0,0,0.08,0,0,0,0,0,0,0
LOC126980198,0,0,0.25,0,0,13.08,0,0,0,115.33,284.97,150.69,0,0,0,0.13,0.98,0,0,0,0,0.28,0,0,0,0,0,0,0,0
LOC126980199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0
LOC126980200,3.71,24.83,6.45,43.45,1.58,1.87,3.51,5.64,2.53,1.54,0.12,0.36,31.58,33.26,22.57,90.12,0.26,9.22,5.31,7.18,18.26,1.21,5.85,1.68,3.91,8.72,5.11,1.16,2.62,3.36
LOC126980201,0.21,10.1,6.05,4.13,5.65,1.54,1.92,1.55,2.45,3.67,4.47,2.16,5.03,2.77,4.77,1.7,0.89,0.6,1.42,1.18,2.1,7.45,1.52,7.8,0.9,0.49,0.14,0.33,1.2,0.93
LOC126980202,21.44,50.4,46.13,227.24,281.49,59.66,62.8,64.51,61.94,84.38,65.82,64.99,82.93,39.21,98.52,57.17,130.56,49.79,58.21,28.26,66.53,11.35,16.11,9.69,17.04,15.35,10.64,3.41,6.96,4.31
LOC126980203,0.42,0.7,0.44,6.21,6.69,0.34,0.08,0,0,0,0,0,0.83,0.66,0.67,0.38,0.03,0.03,0.12,0.22,0.24,0.02,0,0,0,0.13,0.03,0,0.02,0.05
LOC126980204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14,0,0,0,0,0,0
LOC126980205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC126980206,0.3,0.79,0.32,0.08,0.08,0,0,0.08,0.16,0,0,0,0.06,0,0,0.07,0,0,0,0.14,0.15,0.09,0,0,0.25,0,0.03,0,0,0
LOC126980207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC126980208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC126980209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08,0,0,0,0,1.22,0.89,1.59,0,0,0,0,0,0
LOC126980210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC126980211,0.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.68,0.96,0.51,0,0,0,0,0,0
LOC126980212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.97,0,1.59,0,0,0,0,0,0,0,0,0,0
LOC126980213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08,0.14
LOC126980214,0.07,0.11,0.17,1.56,0.68,0,0,0,0,0,0,0,0.08,0.15,0,0,0,0,0,0,0.13,0,0,0,0,0.06,0.04,0,0,0
LOC126980215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.46,0,0,0,0,0.34,0.32,0,0,0,0,0,0,0,0
LOC126980216,0.91,4.19,2.48,0.75,0.33,0.77,2.83,1.98,0.61,0.83,0.89,0.74,0,0,0,4.47,0.08,0.56,0,0.18,0.06,2.32,2.9,2.18,0.08,0,0.04,0.52,1.99,1.3
LOC126980217,0,0.28,0,0,0.3,0,1.08,0,0,0,0,0,0.2,0.6,0,0.48,0,0,0,0,0,106.33,156.39,139.93,0,0.33,0.35,0,0.1,0
LOC126980218,0,0.21,0.35,0,1.86,0.53,0,0,0.68,0.08,0.05,0.36,0,0.26,0.11,0.06,0.29,0.15,0,0.06,0.12,0,0,0.04,0.38,0.08,0.85,0,0.12,0
LOC126980219,0.04,0,0,0,0.05,0,0,0.14,0.32,0,0,0,0.08,0,0,0.13,0.04,0.05,0,0,0.06,0,0.08,0,0.18,0.03,0.19,0.02,0.02,0
LOC126980220,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.31,0,0,0,0,0,0
LOC126980221,0.58,0.3,0.57,0,0,0,0.4,0,0.4,0,0,0,0,0,0,2.35,0,21.7,0,0.09,0,0,0.09,0,0,0,0.09,0,0,0
LOC126980222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC126980223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC126980227,0.06,0,0,0,0.26,0,0,0,0,0.12,0.13,0,0.07,0,0,0,0.28,0.11,0,0,0,0.15,0.1,0.14,0,0,0,0,0,0.04
LOC126980228,1.41,1.3,1.44,4.39,7.52,2.83,1.76,0.88,0.7,0.45,0.25,0.27,0.47,0.96,0.48,0.63,0.82,0.18,0.82,0.31,0.63,1.25,2.15,1.3,1.4,0.62,0.1,0,1.15,0.57
LOC126980229,0,0,0,0,0,0.54,0,0,0,0,0,0,0,0.04,0,0,0.09,0,0,0,0,0.04,0.06,0.07,0,0,0,0,0,0
LOC126980230,20.04,18.01,12.79,35.4,26.53,29.45,21.95,21,17.2,13.61,8.25,9.15,22.11,18.54,16.05,20.82,12.98,24.54,10.51,15.94,8.62,24.55,27.21,31.52,22.4,23.74,12.44,3.92,4.58,3.6
LOC126980231,46.98,50.06,46.72,180.56,268.05,69.12,70.62,74.8,95.32,75.09,45.24,29.55,184.23,242.51,141.87,108.51,80.34,85.76,46.47,42.52,30.92,77.75,35.85,56.2,43.11,48.4,38.9,71.81,52.72,47.09
LOC126980232,0.45,1.32,1,6.65,8.21,2.52,2.79,0.27,0.35,17.56,12.65,10.9,0,0.06,0,0.08,6.66,0.19,0,0,0.06,2.31,1.81,0.8,0,0.16,0.19,1.08,0.06,0.03
LOC126980233,0,0.21,0.26,0,0,0.48,0,0,0,0.39,1.14,0,0,0.04,0,0.55,0.31,0.12,0,0,0,0.13,0.09,0.06,0,0.25,0.05,0,0.08,0.33
LOC126980234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC126980235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0,0,0,0,0,0,0,0
LOC126980236,0.1,7.19,5.97,2.02,4.77,0.16,0.02,0,0,0.01,0,0,0,0.1,0.13,0.05,0.04,0.05,0,0,0,0.12,0.08,0.01,0,0,0,0.02,0.03,0
LOC126980237,0,0,0.1,0,0.13,0,0,0,0,0,0,0,0.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0
LOC126980238,4.27,10.54,11.25,19.94,21.73,7.52,9.18,5.82,5.93,3.69,3.86,2.26,13.61,14.87,16.04,9.77,7.45,4.29,12.25,8.23,12.41,3.55,11.52,3.02,7.34,7.89,3.95,0.93,1.56,1.54
LOC126980239,1.42,2.57,6.13,0.49,1.13,1.05,0,0,0,0,0,0,0.08,0.08,0.09,0,0,0,0,0.1,0,0.07,0,0.71,0,0.07,0,0,0,0
LOC126980240,0.1,2.84,1,5.57,2.54,0.73,0.94,2.36,1.99,2.13,1.9,0.82,1.67,1.39,1.64,3.22,0.52,0.48,0.59,0.86,1.56,1.89,11.9,1.25,3.81,1.34,0.18,0.33,1.17,1.24
LOC126980241,1.55,8.47,6.28,16.14,13.42,8.7,4.38,5.82,6.28,5.14,9.42,4.28,5.83,5.23,5.06,10.44,4.9,6.08,3.98,2.96,3.92,6.58,11.16,7.02,8.97,5.11,2.69,1.32,2.56,2.05
LOC126980242,0.34,2.91,1.24,4.02,2.3,1.05,1.27,1.94,1.95,2.01,2.69,1.19,2.35,2.49,2.06,2.7,0.55,0.73,2.01,1.74,2.29,3.8,4.22,2.85,2.65,2.23,0.28,0.5,1.79,1.6
LOC126980243,3.93,13.15,6.64,19.6,13.82,10.77,11.77,9.83,11.88,12.82,12.94,11.6,9.8,10.29,8.37,11.19,11.45,6.74,9.76,8,8.94,10.78,13.75,8.93,15.96,16.74,12.32,2.82,3.54,3.41
LOC126980244,0,0,0,0.17,0.17,0.08,0,0,0,0.06,0.02,0,0.02,0.06,0.04,0.02,0.06,0.03,0,0.02,0.02,0.82,1.39,1.35,0.04,0,0.05,0.05,0.1,0
LOC126980245,0,0.24,0,0,0,0,0,0,0,0,0,0,0,0,0.18,0,0.19,0,1.11,0,0.16,0,0,0,0,0.14,0,0,0,0
LOC126980246,1.95,3.79,2.84,9.39,7.96,4.32,5.27,4.63,4.81,3.57,2.92,3.03,5.81,4.39,4.92,6.9,4.48,5.99,1.77,1.61,3.1,2.62,5.21,3.29,17.09,10.48,5.45,2.41,5.89,2.61
LOC126980247,3.83,6.61,3.66,10.27,9.43,9.92,7.21,5.71,6.55,12.55,9.19,7.23,1.99,2.73,3.54,8.46,2.31,8.61,1.12,1.75,1.71,10.32,12.45,8.22,5.89,3.61,2.88,1.14,4.59,2.5
LOC126980248,5.1,16.11,11.21,19.16,27.8,9,16.99,22.63,24.87,41.38,28.7,16.15,4.77,6.07,4.52,37.83,5.75,20.49,2.39,3.82,2.79,21.21,16.73,16.2,8.76,6.3,2.64,3,9.77,9.06
LOC126980249,0,0,0,0,0.4,0,0,0,0.37,0,0,0,0,0,0,0,0,0,0,0,0.96,0,0,0,0,0,0,0,0,0
LOC126980250,0,0,0,0.22,0.09,0.11,0,0,0,0.06,0.07,0,0.08,0,0.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14,0.03
LOC126980251,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.19,0,0,0,0,0
LOC126980252,0.07,0,0.09,0.29,0,0.77,0.07,0,0.11,0,0.15,0.2,0,0,0.08,0.14,0,0,0,0,0.04,0,0.05,0,0,0.07,0.05,0,0.02,0
LOC126980253,34.75,84.81,67.24,103.96,158.07,159.18,65.69,103.43,92.25,93.29,85.02,67.25,92.43,135.46,111.54,107.54,71.98,82.16,42.97,72.28,57.66,39.84,137.92,87.98,108.65,200.83,115.65,27.89,64.55,49.7
LOC126980254,2.05,11.36,7.53,16.53,41.95,7.8,6.76,5.19,13.31,34.54,24.95,13.61,8.28,8.56,8.45,10.17,10.95,4.56,4.07,3.78,4.37,7.71,82.78,6.91,12.79,10.04,6.17,1.03,3.31,3.23
LOC126980255,0,0.18,0.37,0.71,0,0.23,0,0,0,0.18,0,0.11,0,0,0.11,0,0.12,0,0.66,1.36,0.38,0,0,0,0,0.99,0.25,0,0,0
LOC126980256,0.79,5.76,4.4,7.99,9.24,11.92,14.31,4.8,25.62,4.2,6.01,9.09,13.66,11.53,10.85,11.87,3.17,12.46,4.75,4.94,6.03,66.82,23.74,50.77,10.25,6.03,8.78,0.98,2.88,1.02
LOC126980257,3.96,3.49,4.18,4.8,21.66,18.35,4.04,1.93,6.23,10.61,8.3,12.04,4.83,3.3,4.4,1.81,7.12,7.41,3.21,6.29,1.79,2.09,20.19,3.63,10.21,14.27,11.66,0.93,0.99,0.57
LOC126980258,0.46,10.57,5.43,28.18,11.39,3.87,6.61,14.8,3.66,7.47,6.45,1.65,2.88,2.95,2.88,7.26,6.72,0.73,0.65,0.91,1.72,11.49,40.16,6.57,11.42,3.62,0.42,0.51,4.94,5.79
LOC126980259,5.28,17.39,13.33,47.64,33.39,21.88,15.38,26.5,8.62,11.58,12.42,7.84,8.14,9.18,9.56,11.07,47.19,4.36,3.36,5.12,3.7,9.88,65.94,14.68,30.53,23.03,9.56,1.95,10.05,6.8
LOC126980260,0,0.22,0.18,0.93,0,0,0,0.45,0.44,0,0.3,0,0.79,0.32,0,0.76,0,0,0,0.2,0,0.26,0.38,0.4,0,0.13,0,0,0,0
LOC126980261,0,0,0.05,0,0.63,0,0.09,0,0,0,0,0,0.05,0,0.05,0.06,0.36,0,0,0,0,0.42,0,0.42,0.05,0.23,0.05,0,0.02,0
LOC126980262,0,0,0.13,0,0,32.68,0,0,0,61.07,55.12,46.58,0,0,0,0,20.04,0.06,0,0,0,0.15,0.04,0,0,0.31,0.02,0.03,0.04,0.08
LOC126980263,0,1.12,0.22,7.15,15.96,0.22,0,0,0,0.27,0.52,0.09,0,0.25,0.07,0.08,0,0.28,0,0.34,0,0,0,0,0,0.05,0,0,0,0
LOC126980264,0,0.5,0.18,1.34,0.77,0,0.22,0.28,0.61,2.17,0.96,1.01,0.35,0.16,0.38,0.19,0.84,0,0.05,0.05,0.21,0.63,0.19,0.37,0.77,0.16,0.09,0.11,0.17,0.3
LOC126980265,2.33,3.47,3.74,8.01,10.88,14.35,4.47,6.16,3.72,20.47,8.88,14.26,2.34,3.41,3.03,5.04,13.69,5.28,2.06,2.68,1.46,2.87,14.97,3.57,12.51,13.43,6.31,1.23,1.09,1.69
LOC126980266,0.42,0.23,0.18,1.43,1.64,1.48,0,0.89,0.44,0.51,0.73,0.64,0.47,0.37,0,0.38,1.04,0.24,0.2,0.58,0,0.13,0.22,0.13,0.43,0.79,0.1,0,0,0
LOC126980267,0.1,0.68,0.36,0.1,0.05,0,0.13,0.03,0.14,0.01,0,0,0.02,0.04,0,0.01,0.03,0,0,0,0.05,0.41,0.25,0.11,0,0.01,0.01,0,0,0
LOC126980268,0.67,4.63,6.45,51.25,51.26,6,0.71,0.49,0.33,0.14,0.14,0.02,3.19,0.84,1.16,0.32,0.83,0.1,0.11,0.53,1.12,0.23,1.07,0.29,0.39,0.34,0.28,0.08,0.35,0.2
LOC126980269,1.21,7.41,4.72,6.73,7.44,2.78,9.73,8.44,8.29,4.8,6.25,3.66,3.34,3.03,2.7,11.76,1.56,6.78,1.78,1.85,1.95,5.32,6.57,4.63,3.93,2.98,1.13,0.61,2.27,1.71
LOC126980270,5.74,1.23,3.45,4.63,2.41,6.29,7.89,0.44,4.11,0.45,0.09,4.96,1.64,0.54,1.52,0.35,1.78,5.62,0.58,2.96,0,0.62,0.85,1.44,4.42,2.43,5.88,0.8,0.12,0
LOC126980271,0.17,0.09,0.31,0.16,1.28,0,0,0,0.09,0,0,0,2.45,0.3,2.18,0.33,0,0.44,0,0.24,0,0.22,0.11,0.08,0,0.12,0.15,0,0.05,0
LOC126980272,0.23,0,0.2,0.19,1.11,0,0,0,0.09,0,0.36,0,0,0,0.13,0,0.14,0,0,0,0,0,0,0.6,0,0.01,0.31,0,0,0
LOC126980273,1.02,3.49,3.08,7.4,13.75,4.75,3.56,2.7,5.22,11.9,9.42,5.75,2.97,3.27,3.35,4.14,4.99,3.74,1.71,1.69,2.39,6.35,16.36,8.04,6.91,4.82,3.77,0.97,2.58,2.05
LOC126980274,0.81,1.04,0.18,1.64,1.68,5.75,2.17,0.46,0.89,0,0,0.05,0,0,0,0.9,0.06,0.25,0.2,0.2,0.19,0.04,0,0,0.12,0.27,1.3,0.04,0,0
LOC126980275,1.51,0.71,0.6,0.46,0.76,0.42,4.77,1.65,0.73,0,0,0,0,0,0,0.25,0,0.16,0,0,0,0,0,0,0,0.26,0.56,0.08,0.05,0
LOC126980276,1.4,3.73,1.35,5.94,5.79,2.14,2.05,3.08,3.97,3,3.53,2.81,2.93,3.58,1.99,4.58,3.59,3.75,1.29,1.25,0.77,3.77,5.19,3.72,4.34,3.25,1.29,1.22,1.21,1.93
LOC126980277,6.59,8.83,6.48,24.55,22.44,16.82,18.2,13.31,16.11,9.44,9.19,9.77,29.85,21.6,17.04,8.43,22.92,8.44,23.79,18.43,13.57,38.24,19.4,38.81,11.03,15.82,11.35,2.58,3.58,3.13
LOC126980278,0,0.28,0.23,0.8,0,0,0,0,0,0,0.21,0.21,0,0.02,0.38,0,1.86,0.34,0,0,0,0.51,0.27,0,0.44,0,0,0,0,0.33
LOC126980279,5.23,11.14,5.87,125.2,113.37,23.45,27.31,15.11,17.59,0,0,0,5.53,4.56,8.87,2.88,0.16,7.01,1.1,1.96,3.98,0.24,6.22,0.08,2.34,1.96,1.4,0.55,0.91,0.83
LOC126980280,61.62,141.52,77.79,202.67,215.92,59.62,137.41,98.86,130.49,67.91,57.11,42.56,183.95,164.14,131.47,220.97,135.12,168.67,96.61,120.95,83.59,66,48.97,56.29,41,69.86,32.37,23.94,42.35,46.25
LOC126980281,41.06,107.8,70.33,259.9,451.83,87.68,111.71,93.08,89.15,370.58,245.25,169.04,124.92,157.45,161.8,85.45,262.94,85.27,51.66,43.28,33.99,39.9,200.62,45.99,33.89,47.76,43.33,51.27,54.43,41.89
LOC126980282,0,0,0,0,0,0,0,0,0,0.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC126980283,0,0.19,0,0.59,0,0,0,0,0,0.11,0,0,0.13,0,0,0.32,0.15,0,0,0,0,0,0,0.11,0,0,0,0.1,0.13,0.07
LOC126980284,5.13,8.27,6.21,17.27,24.97,8.62,6.32,8.69,6.71,14.14,12.5,10.69,12.37,12.95,10.18,8.2,3.94,9.28,13.3,13.92,7.01,7.75,15.75,8.62,25.34,21.45,11.81,1.57,1.73,3.15
LOC126980285,0.42,2.12,1.32,3.36,2.39,1.24,1.03,1.07,1.42,2.13,2.01,1.27,1.55,3.08,2.67,1.29,0.72,1.35,1.89,1.15,1.06,6.78,4.49,6.39,2.42,2.02,0.73,0.23,0.59,0.61
LOC126980286,0.15,0.3,0.14,0.37,0.62,0,0,0,0.06,0,0,0,0,0,0,0,0,0,0,0,0,0.21,0.69,0.29,0.05,0,0,0,0,0.02
LOC126980287,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.39,0.67,1.18,0,0.23,0,0,0,0
LOC126980288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.71,76.71,15,0,0,0,0,0,0
LOC126980289,0,0,0.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.14,0.82,4.46,0,0,0,0,0,0
LOC126980290,4.34,1.66,2.54,6.68,4.76,5.56,7,1.24,2.71,2.05,2.13,3.36,9.58,3.72,5.34,1.04,3.16,5.96,2.05,1.93,0.81,1.49,3.52,1.19,6.3,3.56,3.71,0.87,0.46,0.15
LOC126980291,2.46,14.72,10.48,1.01,1.2,0.24,2.1,5.53,0,0,0,0,29.43,22.29,25.49,2.47,0.89,0.53,26.48,22.86,36.58,2.97,0.83,1.75,0,10.35,2.49,0,0.83,0.55
LOC126980292,0.69,5.62,2.06,6.88,3.47,1.55,3.27,4.1,2.57,3.8,3.56,2.57,1.45,1.67,1.16,2.96,0.86,1.1,1.32,1.38,1.82,3.66,4.37,3.73,6.68,3.55,1.49,1.18,2.4,2.89
LOC126980293,0,0,0.4,0,0,1.3,0,0,0,23.79,34.47,45.33,0,0,0,0,0,0,0.14,0.13,0,0,0,0,0,0,0,10.27,13.21,8.65
LOC126980294,0,0.17,0,0,0,0,0,0,0,2.46,0.45,0.87,0,0,0,0.15,0,0,0,0,0,0,0,0,0,0,0,2.52,8.95,1.65
LOC126980295,7.26,18.47,6.11,10.72,8.27,11.01,0.55,0.82,0.46,29.61,7.63,9.87,0.04,0.07,0,13.09,2,2.6,0.74,2.7,0.71,0.05,0.03,0,1.99,3.74,17.82,2.85,0.31,0.57
LOC126980296,13.08,28.72,31.88,55.92,40.9,55.73,23.61,25.51,25.15,57.67,57.63,43.63,12.12,11.95,12.25,24.96,53.6,22.78,11.2,12.23,11.18,9.58,10.9,11.64,18.85,20.67,15.36,8.59,13.65,8.19
LOC126980297,50.28,65.36,46.15,115.06,105.2,38.46,53.5,34.65,43.16,66.51,54.1,53.77,61.81,62.99,53.1,63.11,68.75,41.49,80.16,53.85,33.01,41.91,83.55,50.63,62.76,61.08,41,9.87,15.52,13.33
LOC126980298,2.29,8.27,5.82,4.85,7.7,12.07,4.42,8.35,10.26,11.78,13.53,4,3.5,5.48,2.81,6.09,5.88,6.16,0.33,0.81,0.18,2.2,11.1,2.15,1.35,3.14,2.94,3.35,4.71,6.67
LOC126980299,1.1,2.58,4.01,2.2,3.96,7.45,1.7,2.19,2.8,2.91,10.81,3.56,0.61,0.54,0.6,1.11,4.23,1.89,0.79,0.26,0.25,1.12,1.95,1.38,1.09,1.21,0.67,1.1,2.65,1.35
LOC126980300,1.8,8.13,9.73,24.63,62.84,1.02,0.26,0.15,0.14,0.02,0.04,0,0.06,0.13,0.05,0.13,0.13,0.22,0.06,0.01,0.09,5.22,5.86,4.77,0.05,0.06,0.1,0.12,0.19,0.12
LOC126980301,1.39,5.96,3.32,9.51,5.92,1.67,5.14,7.23,5.5,5.46,5.46,2.56,4.38,6.02,7.23,3.58,2.98,2.71,3.54,2.18,3.79,7.02,7.57,7.15,7.49,3.69,1.06,0.91,2.99,3.25
LOC126980302,2.46,0.36,1.61,0.23,2.9,6.1,0,0,0,0,0,1.99,0.62,0.63,1.07,0,3.25,1.6,1.58,2.86,0,0.09,2.5,2.18,5.18,6.11,3.54,1.14,0,0
LOC126980303,8.32,17.87,6.73,24.81,14.21,29.32,18.25,17.42,22.87,41.15,37.98,38.11,17.46,21.17,17.34,11.63,73.47,5.08,7.31,10.11,12.17,115.41,53.06,125.46,55.04,27.98,18.64,2.45,10.92,10.34
LOC126980304,3.16,5.13,5.27,11.75,7.05,8.24,5.97,4.46,5.99,2.85,5.11,5.29,4.98,3.67,5.34,7.08,5.84,3.92,9.77,8.05,7.39,8.34,3.65,8.49,11.94,8.15,7.17,1.44,3.7,2.94
LOC126980305,0.86,2.54,1.58,6.35,5.02,1.61,2.26,1.63,3.1,2.6,2.47,2.2,1.36,1.57,2.05,2.46,1.53,2.84,0.52,0.63,0.88,3.06,5.68,4.62,3.98,2.06,1.42,0.78,2.25,1.4
LOC126980306,12.87,35.66,21.58,53.56,46.41,113.73,23.88,31.58,45.04,86.39,64.79,53.67,38.17,41.57,40.15,40.81,169.32,44.97,25.67,23.55,18.61,57.21,100.65,46.14,58.23,39.31,17.46,36.3,69.74,71.61
LOC126980307,10.94,19.37,9.57,22.29,19.53,23.85,15.66,26.64,20.85,29.35,28.94,29.54,19.8,20.26,21.63,10.01,52.24,9.24,18.1,14.63,16.12,18.34,15.57,17.18,32.11,29.14,16.34,6.46,11,12.21
LOC126980308,0.21,0.27,0.11,0.28,0.43,0.4,364.23,1553.84,485.12,0.08,0,0,0.57,0.38,0.3,0.46,3.71,1.17,0.36,0.71,0.93,0.24,0,0.08,0.21,0.63,0.28,0.07,0,0.06
LOC126980309,8.72,9.92,4.93,0,0,0.09,4.36,11.05,7.1,0,0,0,0.17,0.04,0,8.88,0.15,14.26,0.44,1.73,0.35,0.36,0.47,1.11,1.84,2.32,1.06,0.06,0.23,0.23
LOC126980310,11.21,28.31,20.61,52.57,55.5,31.87,24.02,30.56,31.2,32.32,32.89,22.46,25.02,29.91,28.41,21.89,32.7,18.38,15.99,15.74,14.44,21.3,50.55,22.69,48.87,30.64,16.99,7.44,10.37,10.44
LOC126980311,0.06,0,0.08,0,0,0,0,0,0,0.18,0.07,0.22,0.07,0.22,0,0.09,0.16,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC126980312,0,0.42,0,0.44,0,0,3.31,0,21.17,0,0,0,0,0.3,0,1262.73,0,2551.88,0,0,0,0,0,0,2.94,20.31,67.21,0,0,0
LOC126980313,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC126980314,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC126980315,0,0,0,0,0,0,0.4,0,0,0.23,0,0,0,0,0,387.14,0,407.01,0,0,0,0,1.04,0,1.23,28.11,73.55,0,0,0
LOC126980316,0,0.26,0.21,0,0,0,1.01,0.79,0.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC126980317,2.76,1.08,0.62,0,0,0,0,0,0.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.16,0
LOC126980318,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC126980319,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC126980320,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC126980321,1.93,1.17,1.1,0.51,1.05,20.26,0.13,0,0.97,263.35,170.77,200.97,0.14,0,0,2.43,0.47,3.32,0,0.09,0.31,0.06,0,0.06,0.23,2.09,26.59,0.2,0.07,0.04
